"BLUP","Genotype"
2.11762099370173,"ss92_1698"
2.1164835806293,"ln95_3830"
2.11480556116784,"u03_100611"
2.11451392473242,"u97_2128"
2.11282026331926,"hs96_3332"
2.11037285827247,"a99_315015"
2.10789054645477,"a02_337046"
2.10725312570995,"lg01_4758"
2.10579650117072,"ld14_6099a"
2.1041875697366,"ia2022"
2.10398567841518,"hc98_1025"
2.10313191224131,"c1902"
2.10137999026093,"sn97_2556"
2.10137999026092,"u98_307723"
2.09800250145731,"ld13_13334r1a"
2.09673522815386,"u02_242055"
2.09642436628077,"e17004"
2.09499277196271,"u96_2326"
2.09324022272488,"ln95_9556"
2.09282911226643,"u11_628132"
2.09126656713908,"cl05_106219"
2.08835428944728,"a03_943039"
2.08772158204274,"a04_644037"
2.08407249366503,"e17203"
2.08401101525693,"u03_825124"
2.08337286664731,"a93_754009"
2.08134232533809,"ld14_6444"
